seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
101,0.898615062915137,true,110,0.0369513929835511,false,,0.9231733214025598,true,87,0.9231338218083663,true,87,-0.6101562935656201,false,,0.9130501400495328,true,100,-0.025276262223339098,-0.07408879271210492
102,0.8482868561727749,true,95,-0.13681404824721718,false,,0.8988837920760308,true,84,0.9006699876313006,true,84,-0.6472594281705676,false,,0.8540367882934476,true,93,-0.002146855594043061,0.004188537594281336
103,0.9231935224458283,true,84,0.14109104410023904,false,,0.9347945707710001,true,75,0.9345660449679053,true,75,-0.5903518301177727,false,,0.9252749965336775,true,86,0.03510625022642607,-0.061461877412106514
104,0.9333738217049931,true,79,0.20519318569278866,false,,0.9417058437811474,true,70,0.9419655049930176,true,69,-0.5853788017109887,false,,0.9368356872431595,true,79,0.032835607958668064,-0.022551771217686426
105,0.835938117021172,true,97,-0.0958338631776996,false,,0.8940358719902501,true,83,0.8930359375094055,true,82,-0.6340303975537916,false,,0.8386013801441259,true,97,-0.043692453043014834,-0.02304007704854361
106,0.8030847123698479,true,135,-0.2857026755988217,false,,0.8779138921535776,true,103,0.8741039847437845,true,104,-0.6643107476749963,false,,0.7931485779722504,true,144,0.026417817654726682,0.03748147556740242
107,0.9309926784947985,true,70,0.1624215255136625,false,,0.9397683288640274,true,64,0.9397314088268587,true,64,-0.5978542706319154,false,,0.9333659260262506,true,74,-0.015875450825047356,-0.01294613376991367
108,0.9148124715139131,true,73,-0.03694950016012636,false,,0.9303361541755719,true,67,0.930575806281827,true,67,-0.6390580609702333,false,,0.9185562766558444,true,69,0.030706738309943502,0.03481546728447816
109,0.9224044569190345,true,62,0.1283631034675875,false,,0.9362956725560875,true,59,0.9356546758379427,true,59,-0.6063077298788293,false,,0.9277328630022357,true,60,-0.05826570801410808,0.018047077118537775
110,0.9306663362163686,true,78,0.1426335453799365,false,,0.9397460016054225,true,70,0.939981032146184,true,69,-0.597958347431794,false,,0.9396376678001892,true,70,0.0030470138537816854,0.021715218596181227
111,0.9409418023950927,true,74,0.22127774033388145,false,,0.9472729357299259,true,68,0.9474117495356407,true,68,-0.5918083466904389,false,,0.9425083363473536,true,75,-0.028560177787294545,-0.04534968867185326
112,0.8307554109418253,true,159,0.010187234883878814,false,,0.8994153262092377,true,107,0.899750731649508,true,109,-0.5853496804927427,false,,0.8280420044418958,true,164,-0.08428611814522169,0.0023441675316287222
113,0.8829361608676118,true,124,-0.01468847107173089,false,,0.9155434896255223,true,94,0.9158412399989796,true,94,-0.6125364541108201,false,,0.8937948228984336,true,113,-0.04974440223892301,-0.04368871433342641
114,0.8285585496565161,true,145,-0.13538006967905153,false,,0.8903415701678057,true,103,0.8915731443169009,true,99,-0.624914432316981,false,,0.8065972138897125,true,161,-0.006784398155728152,0.0527350749023096
115,0.9144710910265709,true,86,0.0589762851321945,false,,0.9289016202077354,true,78,0.9288950336717142,true,78,-0.6156732527224542,false,,0.9195319931161947,true,81,-0.015578963383241804,0.04403311392239639
116,0.9249757958012341,true,88,0.21353377416768624,false,,0.936571506482894,true,75,0.9368298392339143,true,75,-0.5716114491104919,false,,0.9245039541188772,true,90,0.02788521253670513,0.029512336979991907
117,0.8979027208933629,true,107,-0.00371695102196352,false,,0.9217494546140577,true,86,0.9217409303651812,true,87,-0.6218016556757763,false,,0.8958447004287855,true,111,0.018057511404377412,-0.006024741896076796
118,0.8760714877890052,true,105,0.012213547715589001,false,,0.9086130681126054,true,87,0.9084295505078488,true,87,-0.6053974335885833,false,,0.8849123820287217,true,97,-0.00714512969107593,0.0020004768589907255
119,0.8322912535794544,true,109,-0.22705384703947584,false,,0.8903584165221892,true,92,0.8905870372269461,true,92,-0.6574408914729519,false,,0.8316081978060039,true,111,0.04016668926382381,0.04702048447074515
120,0.9225588465240983,true,66,0.058830421172609206,false,,0.9359261921258075,true,62,0.9360559240873227,true,62,-0.626572497363227,false,,0.926798495767093,true,63,0.021147139727693623,0.021080691257446167
121,0.8918937541688576,true,80,-0.01645925448971988,false,,0.9188700815403416,true,75,0.9187750968540235,true,74,-0.6282561141776538,false,,0.8941530461481803,true,77,-0.005735648434312433,-0.011636301983902348
122,0.8982902178168601,true,79,-0.021945922042023194,false,,0.9212987360635491,true,73,0.9211036591063275,true,73,-0.6296166706403198,false,,0.8988238975673533,true,81,0.04182378172473482,-0.013721508510815422
123,0.8444445676896203,true,137,-0.1459870054610836,false,,0.8966772831313535,true,101,0.8948785106916499,true,103,-0.6361622462300417,false,,0.8351542364862536,true,145,-0.03507800290980604,-0.052166811276273
